"TemplateType=Sports","Version=1.1/1.0.14","This row for Amazon.com use only.  Do not modify or delete.",,,,,,,,,,,,"Offer Information - These attributes are required to make your item buyable for customers on the site",,,,,,,,,,,,,,,,,,,,,,"Sales Price information",,,"Item discovery information - These attributes have an effect on how customers can find your product on the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image Information - see Image Info tab for details.",,,,,,,,,,"Variation information",,,,"Information for all product types:",,"FBA - make use of these columns if you are participating in the ""Fulfillment by Amazon"" program",,,,,,,,"Other attributes for Golf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other attributes for all SportingGoods categories",,,,,,,,,,,,,,,,,,,,"Product Dimensions",,,,,,,,,,,,"Price per unit",,"Battery Information",,,,,,,,,,,,,,,,,,,,"Common infrequently used attributes ",,,,
"SKU","ProductID","product-id-type","ProductName","ProductDescription","Manufacturer","ManufacturerPartNumber","BulletPoint1","BulletPoint2","BulletPoint3","BulletPoint4","BulletPoint5","ProductType","Brand","ItemPrice","Currency","ConditionType","ConditionNote","Quantity","MSRP","MAP","LaunchDate","ReleaseDate","RestockDate","LeadtimeToShip","ShippingWeight","ShippingWeightUnitOfMeasure","ProductTaxCode","Warranty","SellerWarrantyDescription","Prop65","CPSIAWarning1","CPSIAWarning2","CPSIAWarning3","CPSIAWarning4","CPSIAWarningDescription","SalesPrice","SaleStartDate","SaleEndDate","ItemType","UsedFor1","UsedFor2","UsedFor3","UsedFor4","UsedFor5","TargetAudience1","TargetAudience2","TargetAudience3","OtherItemAttributes1","OtherItemAttributes2","OtherItemAttributes3","OtherItemAttributes4","OtherItemAttributes5","SubjectContent1","SubjectContent2","SubjectContent3","SubjectContent4","SubjectContent5","SearchTerm1","SearchTerm2","SearchTerm3","SearchTerm4","SearchTerm5","PlatinumKeyword1","PlatinumKeyword2","PlatinumKeyword3","PlatinumKeyword4","PlatinumKeyword5","MainImageURL","SwatchImageURL","OtherImageURL1","OtherImageURL2","OtherImageURL3","OtherImageURL4","OtherImageURL5","OtherImageURL6","OtherImageURL7","OtherImageURL8","Parentage","ParentSKU","RelationshipType","VariationTheme","Color","ColorMap","FulfillmentCenterID","PackageHeight","PackageWidth","PackageLength","PackageLengthUnitOfMeasure","PackageWeight","PackageWeightUnitOfMeasure","MaxAggregateShipQuantity","GolfFlex","GolfLoft","GripSize","GripType","Hand","ShaftLength","ShaftLengthUnitOfMeasurement","ShaftMaterial","Wattage","EngineDisplacement","EngineDisplacementUnitOfMeasure","GripMaterialType","OperationMode","DisplayType","Resolution","ScreenSize","ScreenSizeUnitOfMeasure","PowerSource","MaximumUserWeight","MaximumUserWeightUnitOfMeasure","DisplayFeatures","UsageCapacity","UsageCapacityUnitOfMeasure","NumberOfLevels","WhatsInTheBox","CourseCapacity","AvailableCourses","ScreenColor","ThreadSize","LoadCapacity","LoadCapacityUnitOfMeasure","PositionAccuracy","Memory","MemoryUnitOfMeasure","DisplaySize","DisplaySizeUnitOfMeasure","Pixels","CompatibleDevices","MinimumWeightRecommendation","MinimumWeightRecommendationUnitOfMeasure","MaxWeightRecommendation","MaxWeightRecommendationUnitOfMeasure","CoverageArea","CoverageAreaUnitOfMeasure","PeakHeight","PeakHeightUnitOfMeasure","MaximumWeight","MaximumWeightUnitOfMeasure","Capability","ClosureType","Construction","CountryOfOrigin","Design","EventName","FabricType","SpecialFeatures","Functions","LegalDisclaimer","Material","PackageQuantity","Packaging","Season","SizeMap","SizeName","SkillLevel","Sport","StyleName","SpecificUsageForProduct","Diameter","DiameterUnitOfMeasurement","Height","HeightUnitOfMeasurement","Length","LengthUnitOfMeasurement","Width","WidthUnitOfMeasurement","ItemThickness","ItemThicknessUnitOfMeasurement","Weight","WeightUnitOfMeasurement","PPUCount","PPUCountType","AreBatteriesIncluded","AreBatteriesRequired","BatteryType1","BatteryType2","BatteryType3","NumberOfBatteries1","NumberOfBatteries2","NumberOfBatteries3","BatteryLife1","BatteryLife2","BatteryLife3","BatteryLifeUnitOfMeasure1","BatteryLifeUnitOfMeasure2","BatteryLifeUnitOfMeasure3","LithiumBatteryEnergyContent","LithiumBatteryPackaging","LithiumBatteryVoltage","LithiumBatteryWeight","NumberOfLithiumIonCells","NumberOfLithiumMetalCells","IsGiftMessageAvailable","IsGiftWrapAvailable","IsDiscontinuedByManufacturer","RegisteredParameter","UpdateDelete"
109017.09,31652150164,"UPC","Ogio Staff Cart Bag (White)","The white Ogio Staff Bag is a favorite among golf staff bags with many features.","Ogio",109017.09,"10"" oversized six-way top with individual full-length club dividers","Eight pockets (seven zippered), ZBP (Zipperless Ball Pocket), dual insulated hydration pockets, internal ""Isolation Chamber"" wet/dry pocket","Boot style design, lightweight exo-skeletal frame with tee holders","Three-point ergonomic molded handle, three-point single shoulder strap with containment system","Hook-and-loop attachment strip for glove/putter cover, full-length umbrella containment system",,"Ogio",199.88,"USD","New",,5,300,249.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124004,,,"Ogio Sultan Cart Bag","The Ogio Sultan Cart Bag is a favorite among golf cart bags with many features.","Ogio",,"14-way Diamond UltraLite Performance top, easy-access top","Twelve pockets (nine zippered), ZBP (Zipperless Ball Pocket), weather resistant fleece-lined valuables pocket, large insulated cooler pocket, scorecard and pencil sleeve pockets","Gripping rubber-coated feet on base to prevent twisting","Custom ergonomic three-point handle","Lift Grip integrated trunk handle",,"Ogio",,,"New",,,,,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124004.058,31652150386,"UPC","Ogio Sultan Cart Bag (Grangler/Navy)",,"Ogio",124004.058,,,,,,,"Ogio",189.99,"USD","New",,5,230,199.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124004,"Variation","Color","Grangler/Navy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124004.667,31652150379,"UPC","Ogio Sultan Cart Bag (Griddle/Juice)",,"Ogio",124004.667,,,,,,,"Ogio",199.88,"USD","New",,1,230,199.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124004,"Variation","Color","Griddle/Juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124004.36,31652150362,"UPC","Ogio Sultan Cart Bag (Stealth)",,"Ogio",124004.36,,,,,,,"Ogio",199.99,"USD","New",,0,230,199.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124004,"Variation","Color","Stealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021,,,"Ogio Syncro Cart Bag","The Ogio Syncro Cart Bag earned a Gold Award on the Golf Digest Hot List due to its multiple features.","Ogio",,"14-way Diamond UltraLite Performance Cart top with individual full-length club dividers","Ten pockets (eight zippered), ZBP (Zipperless Ball Pocket), fleece lined wallet and cell phone pockets, internal ""Isolation Chamber"" wet/dry pocket, easy access magnetic score card pocket","Glove/putter velcro attachment strip","Hoode rain hood system, rain cover, umbrella containment system","Lift Grip integrated trunk handle, glove/putter velcro attachment strip",,"Ogio",,,"New",,,,,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021.668,31652148932,"UPC","Ogio Syncro Cart Bag (Griddle/Red)",,"Ogio",109021.668,,,,,,,"Ogio",169.99,"USD","New",,5,210,179.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",109021,"Variation","Color","Griddle/Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021.354,31652149984,"UPC","Ogio Syncro Cart Bag (Persimmon Plaid)",,"Ogio",109021.354,,,,,,,"Ogio",169.99,"USD","New",,0,210,179.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",109021,"Variation","Color","Persimmon Plaid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021.016,31652148949,"UPC","Ogio Syncro Cart Bag (Pinstripe/Juice)",,"Ogio",109021.016,,,,,,,"Ogio",169.88,"USD","New",,5,210,179.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",109021,"Variation","Color","Pinstripe/Juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021.36,31652148925,"UPC","Ogio Syncro Cart Bag (Stealth)",,"Ogio",109021.36,,,,,,,"Ogio",169.99,"USD","New",,5,210,179.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",109021,"Variation","Color","Stealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109021.091,31652148956,"UPC","Ogio Syncro Cart Bag (White/Lime)",,"Ogio",109021.091,,,,,,,"Ogio",169.99,"USD","New",,0,210,179.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",109021,"Variation","Color","White/Lime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001,,,"Ogio Assassin Cart Bag",,"Ogio",,"14-way Diamond UltraLite Performance Cart top","Nine zippered pockets, two fleece lined valuables pockets with phone pouch, hydration pocket","New low profile OGIO Ball Silo","Deluxe padded shoulder strap, umbrella containment system","Lightweight hex rip-stop material",,"Ogio",,,"New",,,,,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001.03,31652148611,"UPC","Ogio Assassin Cart Bag (Black)",,"Ogio",124001.03,,,,,,,"Ogio",159.88,"USD","New",,5,220,189.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124001,"Variation","Color","Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001.206,31652147836,"UPC","Ogio Assassin Cart Bag (High Viz Yellow)",,"Ogio",124001.206,,,,,,,"Ogio",159.88,"USD","New",,5,220,189.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124001,"Variation","Color","High Viz Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001.04,31652148642,"UPC","Ogio Assassin Cart Bag (Navy)",,"Ogio",124001.04,,,,,,,"Ogio",159.88,"USD","New",,5,220,189.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124001,"Variation","Color","Navy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001.02,31652148659,"UPC","Ogio Assassin Cart Bag (Red)",,"Ogio",124001.02,,,,,,,"Ogio",159.88,"USD","New",,5,220,189.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124001,"Variation","Color","Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002,,,"Ogio Mantix Cart Bag",,"Ogio",,"14-way UltraLite Cart top","Seven zippered pockets, valuables pockets with phone pouch","Lightweight molded handle","Deluxe padded shoulder strap, umbrella holder, towel loop","Lightweight hex rip-stop material",,"Ogio",,,"New",,,,,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002.03,31652149960,"UPC","Ogio Mantix Cart Bag (Black)",,"Ogio",124002.03,,,,,,,"Ogio",159.99,"USD","New",,5,185,159.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124002,"Variation","Color","Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002.206,31652149953,"UPC","Ogio Mantix Cart Bag (High Viz Yellow)",,"Ogio",124002.206,,,,,,,"Ogio",159.99,"USD","New",,5,185,159.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124002,"Variation","Color","High Viz Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002.32,31652147850,"UPC","Ogio Mantix Cart Bag (Lime)",,"Ogio",124002.32,,,,,,,"Ogio",159.99,"USD","New",,5,185,159.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124002,"Variation","Color","Lime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002.04,31652149939,"UPC","Ogio Mantix Cart Bag (Navy)",,"Ogio",124002.04,,,,,,,"Ogio",159.99,"USD","New",,5,185,159.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124002,"Variation","Color","Navy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124002.02,31652147829,"UPC","Ogio Mantix Cart Bag (Red)",,"Ogio",124002.02,,,,,,,"Ogio",159.99,"USD","New",,0,185,159.99,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124002,"Variation","Color","Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124003,,,"Ogio Kingpin Cart Bag",,"Ogio",,"10"" 14-way top with individual full-length club dividers","11 pockets (10 zippered), insulated hydration pocket with leak port, removable fleece lined valuables pocket, internal cell phone pocket","Umbrella containment system, zippered rain hood","Elastic tee holder, elastic oversized towel loop","Lift Grip integrated trunk handle, glove/putter velcro attachment strip",,"Ogio",,,"New",,,,,,,,,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124003.058,31652150348,"UPC","Ogio Kingpin Cart Bag (Grangler/Navy)",,"Ogio",124003.058,,,,,,,"Ogio",149.99,"USD","New",,5,175,149.99,,,,3,,,"A_GEN_NOTAX",,,,,,,,,,,,"golf-cart-bags","golf",,,,,"adults","men","seniors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child",124003,"Variation","Color","Grangler/Navy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
